unix_time,datetime,cpu_usage_percent,temperature_c,cpu_freq_mhz
1520605730.303902,2018-03-09 14:28:50,45.27,46.3,2400.0
1520605731.3073359,2018-03-09 14:28:51,42.11,47.4,2400.0
1520605732.3087804,2018-03-09 14:28:52,45.25,45.75,1500.0
1520605733.3104038,2018-03-09 14:28:53,56.08,45.2,1500.0
1520605734.3118277,2018-03-09 14:28:54,53.75,46.85,2400.0
1520605735.313128,2018-03-09 14:28:55,48.13,46.85,2400.0
1520605736.3161695,2018-03-09 14:28:56,45.29,46.3,2400.0
1520605737.3169775,2018-03-09 14:28:57,46.91,47.4,2400.0
1520605738.3190382,2018-03-09 14:28:58,42.0,46.85,2400.0
1520605739.3205328,2018-03-09 14:28:59,44.67,46.3,1500.0
1520605740.3221931,2018-03-09 14:29:00,53.25,45.75,1500.0
1520605741.3236277,2018-03-09 14:29:01,55.53,46.85,2300.0
1520605742.3250766,2018-03-09 14:29:02,49.13,47.4,2400.0
1520605743.3295171,2018-03-09 14:29:03,47.24,47.4,2400.0
1520605744.332789,2018-03-09 14:29:04,47.65,47.4,2400.0
1520605745.3352857,2018-03-09 14:29:05,45.2,47.4,2400.0
1520605746.3368897,2018-03-09 14:29:06,43.5,46.85,2400.0
1520605747.3385096,2018-03-09 14:29:07,45.27,46.3,1800.0
1520605748.34103,2018-03-09 14:29:08,51.01,46.3,1500.0
1520605749.342452,2018-03-09 14:29:09,54.75,46.3,1500.0
1520605750.3441012,2018-03-09 14:29:10,53.22,47.4,2400.0
1520605751.3480673,2018-03-09 14:29:11,44.75,47.4,2400.0
1520605752.3489842,2018-03-09 14:29:12,48.13,47.95,2400.0
1520605753.3507192,2018-03-09 14:29:13,41.85,47.95,2400.0
1520605754.3521028,2018-03-09 14:29:14,41.0,45.75,2400.0
1520605755.353523,2018-03-09 14:29:15,54.25,45.2,1500.0
1520605756.3549442,2018-03-09 14:29:16,56.14,46.85,2300.0
1520605757.3565514,2018-03-09 14:29:17,46.6,46.85,2400.0
1520605758.360196,2018-03-09 14:29:18,49.12,48.5,2400.0
1520605759.3663995,2018-03-09 14:29:19,45.93,48.5,2400.0
1520605760.3688893,2018-03-09 14:29:20,43.78,46.85,2400.0
1520605761.3702784,2018-03-09 14:29:21,43.78,46.85,2400.0
1520605762.371767,2018-03-09 14:29:22,48.62,45.75,1500.0
1520605763.3724627,2018-03-09 14:29:23,54.36,45.2,1500.0
1520605764.3739047,2018-03-09 14:29:24,55.36,48.5,2400.0
1520605765.3753211,2018-03-09 14:29:25,48.87,47.4,2400.0
1520605766.3771749,2018-03-09 14:29:26,46.37,47.4,2400.0
1520605767.380241,2018-03-09 14:29:27,46.75,47.95,2400.0
1520605768.38489,2018-03-09 14:29:28,43.64,48.5,2400.0
1520605769.3862703,2018-03-09 14:29:29,41.21,45.2,2200.0
1520605770.3876903,2018-03-09 14:29:30,51.13,45.75,1500.0
1520605771.389116,2018-03-09 14:29:31,54.39,46.85,1600.0
1520605772.3905485,2018-03-09 14:29:32,55.75,47.4,2400.0
1520605773.3922718,2018-03-09 14:29:33,46.0,46.85,2400.0
1520605774.3949301,2018-03-09 14:29:34,52.23,47.4,2400.0
1520605775.398422,2018-03-09 14:29:35,45.5,47.4,2400.0
1520605776.4001966,2018-03-09 14:29:36,43.32,46.85,2300.0
1520605777.401721,2018-03-09 14:29:37,47.63,45.2,1500.0
1520605778.4031463,2018-03-09 14:29:38,54.34,46.85,1500.0
1520605779.4045625,2018-03-09 14:29:39,56.53,46.85,2400.0
1520605780.4061291,2018-03-09 14:29:40,47.01,47.4,2400.0
1520605781.4089198,2018-03-09 14:29:41,49.88,47.95,2400.0
1520605782.410734,2018-03-09 14:29:42,45.36,47.95,2400.0
1520605783.4128911,2018-03-09 14:29:43,40.4,46.85,2400.0
1520605784.4143326,2018-03-09 14:29:44,43.89,45.2,1500.0
1520605785.4157438,2018-03-09 14:29:45,55.47,45.2,1500.0
1520605786.4168963,2018-03-09 14:29:46,55.86,47.95,1500.0
1520605787.4184844,2018-03-09 14:29:47,47.62,46.85,2400.0
1520605788.421038,2018-03-09 14:29:48,49.5,47.95,2400.0
1520605789.424918,2018-03-09 14:29:49,45.16,47.4,2400.0
1520605790.426889,2018-03-09 14:29:50,39.95,46.3,2300.0
1520605791.42844,2018-03-09 14:29:51,48.5,46.3,1500.0
1520605792.4298565,2018-03-09 14:29:52,55.16,45.75,1500.0
1520605793.4315348,2018-03-09 14:29:53,54.98,46.85,2400.0
1520605794.436231,2018-03-09 14:29:54,46.35,46.85,2400.0
1520605795.4391692,2018-03-09 14:29:55,47.54,48.5,2400.0
1520605796.4406233,2018-03-09 14:29:56,42.39,46.85,2400.0
1520605797.4420462,2018-03-09 14:29:57,42.89,46.85,2300.0
1520605798.443536,2018-03-09 14:29:58,49.63,45.75,1500.0
1520605799.44489,2018-03-09 14:29:59,56.78,46.85,2400.0
1520605800.4462836,2018-03-09 14:30:00,51.25,47.95,2400.0
1520605801.4480085,2018-03-09 14:30:01,46.72,46.85,2400.0
1520605802.4489684,2018-03-09 14:30:02,46.52,47.95,2400.0
1520605803.451112,2018-03-09 14:30:03,42.64,47.4,2400.0
1520605804.4525042,2018-03-09 14:30:04,42.89,46.3,2100.0
1520605805.4540083,2018-03-09 14:30:05,52.97,45.75,1500.0
1520605806.455425,2018-03-09 14:30:06,55.3,46.85,2400.0
1520605807.457091,2018-03-09 14:30:07,48.88,46.85,2400.0
1520605808.460727,2018-03-09 14:30:08,49.38,47.4,2400.0
1520605809.462906,2018-03-09 14:30:09,45.64,47.95,2400.0
1520605810.4642968,2018-03-09 14:30:10,42.0,46.85,2400.0
1520605811.46489,2018-03-09 14:30:11,46.87,45.75,1600.0
1520605812.4663155,2018-03-09 14:30:12,56.36,46.3,1500.0
1520605813.4679484,2018-03-09 14:30:13,54.5,47.4,2400.0
1520605814.472369,2018-03-09 14:30:14,45.25,46.85,2400.0
1520605815.4749558,2018-03-09 14:30:15,48.99,47.4,2400.0
1520605816.4784687,2018-03-09 14:30:16,45.02,46.85,2400.0
1520605817.4798672,2018-03-09 14:30:17,41.16,46.3,2400.0
1520605818.4812953,2018-03-09 14:30:18,48.36,45.75,1500.0
1520605819.4827154,2018-03-09 14:30:19,59.2,46.3,1500.0
1520605820.4841661,2018-03-09 14:30:20,51.01,47.95,2400.0
1520605821.4850726,2018-03-09 14:30:21,47.62,48.5,2400.0
1520605822.4882064,2018-03-09 14:30:22,45.66,48.5,2400.0
1520605823.4943333,2018-03-09 14:30:23,41.9,46.3,2400.0
1520605824.4957867,2018-03-09 14:30:24,43.75,45.75,1600.0
1520605825.498598,2018-03-09 14:30:25,52.99,46.3,1500.0
1520605826.500046,2018-03-09 14:30:26,58.4,47.4,2400.0
1520605827.5014682,2018-03-09 14:30:27,49.88,46.85,2400.0
1520605828.5046396,2018-03-09 14:30:28,45.71,46.85,2400.0
1520605829.5076745,2018-03-09 14:30:29,45.11,46.3,2400.0
1520605830.5088904,2018-03-09 14:30:30,41.4,46.85,2400.0
1520605831.5103042,2018-03-09 14:30:31,41.6,45.75,1500.0
1520605832.5136707,2018-03-09 14:30:32,54.41,46.85,1500.0
1520605833.5153306,2018-03-09 14:30:33,55.83,47.4,2400.0
1520605834.516902,2018-03-09 14:30:34,51.24,47.4,2400.0
1520605835.51835,2018-03-09 14:30:35,45.23,49.05,2400.0
1520605836.5200686,2018-03-09 14:30:36,41.31,47.4,2400.0
1520605837.5210414,2018-03-09 14:30:37,43.0,45.75,1500.0
1520605838.5236194,2018-03-09 14:30:38,53.98,45.75,1500.0
1520605839.525042,2018-03-09 14:30:39,54.89,46.85,2400.0
1520605840.5265086,2018-03-09 14:30:40,49.75,47.95,2400.0
1520605841.5307417,2018-03-09 14:30:41,48.02,47.4,2400.0
1520605842.5353825,2018-03-09 14:30:42,44.03,47.4,2400.0
1520605843.5367482,2018-03-09 14:30:43,40.59,45.2,2300.0
1520605844.5382087,2018-03-09 14:30:44,46.48,45.75,1500.0
1520605845.5396292,2018-03-09 14:30:45,54.36,47.4,1500.0
1520605846.5409226,2018-03-09 14:30:46,56.89,46.3,2400.0
1520605847.5424688,2018-03-09 14:30:47,45.0,46.85,2400.0
1520605848.544901,2018-03-09 14:30:48,50.62,49.05,2400.0
1520605849.546318,2018-03-09 14:30:49,42.25,46.3,2400.0
1520605850.5477152,2018-03-09 14:30:50,42.0,46.3,2400.0
1520605851.5491786,2018-03-09 14:30:51,49.25,46.3,1500.0
1520605852.5506158,2018-03-09 14:30:52,58.91,45.75,1500.0
1520605853.5521765,2018-03-09 14:30:53,54.43,47.95,2400.0
1520605854.5552218,2018-03-09 14:30:54,45.89,47.95,2400.0
1520605855.5567968,2018-03-09 14:30:55,49.25,48.5,2400.0
1520605856.5586338,2018-03-09 14:30:56,43.97,47.4,2400.0
1520605857.564312,2018-03-09 14:30:57,40.65,47.4,2400.0
1520605858.5648952,2018-03-09 14:30:58,46.5,45.75,1500.0
1520605859.5663102,2018-03-09 14:30:59,54.21,45.75,1600.0
1520605860.5677152,2018-03-09 14:31:00,54.55,47.95,2400.0
1520605861.5691864,2018-03-09 14:31:01,44.86,47.4,2400.0
1520605862.5717463,2018-03-09 14:31:02,51.5,48.5,2400.0
1520605863.5762217,2018-03-09 14:31:03,45.09,48.5,2400.0
1520605864.5768907,2018-03-09 14:31:04,40.4,46.85,2400.0
1520605865.578337,2018-03-09 14:31:05,47.1,45.75,1500.0
1520605866.5797572,2018-03-09 14:31:06,57.53,46.85,1500.0
1520605867.5813472,2018-03-09 14:31:07,52.37,47.95,2400.0
1520605868.5847628,2018-03-09 14:31:08,53.63,47.4,2400.0
1520605869.5873723,2018-03-09 14:31:09,59.25,49.05,2400.0
1520605870.5889182,2018-03-09 14:31:10,44.86,47.4,2400.0
1520605871.590311,2018-03-09 14:31:11,41.71,47.95,2400.0
1520605872.5915997,2018-03-09 14:31:12,41.65,45.75,1500.0
1520605873.5945296,2018-03-09 14:31:13,53.62,46.3,1500.0
1520605874.5959308,2018-03-09 14:31:14,55.3,46.85,2400.0
1520605875.5970962,2018-03-09 14:31:15,45.5,47.95,2400.0
1520605876.60103,2018-03-09 14:31:16,50.87,48.5,2400.0
1520605877.605145,2018-03-09 14:31:17,45.64,48.5,2400.0
1520605878.6065366,2018-03-09 14:31:18,42.68,46.85,2400.0
1520605879.6078205,2018-03-09 14:31:19,43.28,46.3,1500.0
1520605880.6095152,2018-03-09 14:31:20,51.25,46.3,1500.0
1520605881.610938,2018-03-09 14:31:21,54.39,46.3,1500.0
1520605882.612561,2018-03-09 14:31:22,52.12,47.4,2400.0
1520605883.6162348,2018-03-09 14:31:23,45.48,47.4,2400.0
1520605884.616955,2018-03-09 14:31:24,50.62,47.4,2400.0
1520605885.6187015,2018-03-09 14:31:25,46.21,47.95,2400.0
1520605886.6209316,2018-03-09 14:31:26,40.8,45.2,2400.0
1520605887.6224015,2018-03-09 14:31:27,52.02,48.5,2400.0
1520605888.6237476,2018-03-09 14:31:28,61.94,47.4,2400.0
